Sample,Sample,Composition,Composition,Composition,Composition,Composition,Composition,Process,Process,Sample,Sample
Sample,Formulation,A,B,C,D,E,F,PercentOpen,Pressure,Gap (mm),Diameter (mm)
3,109,0.2,0.16,0,0,0,0.64,80,80,7.75,8
1,110,0.51,0.31,0.07,0.01,0.01,0.09,80,80,7.81,7.99
2,110,0.51,0.31,0.07,0.01,0.01,0.09,80,80,7.81,8.05
3,110,0.51,0.31,0.07,0.01,0.01,0.09,80,80,7.8,8.1
1,111,0.14,0.17,0.02,0,0,0.67,80,80,7.81,8.18
2,111,0.14,0.17,0.02,0,0,0.67,80,80,7.85,8.15
3,111,0.14,0.17,0.02,0,0,0.67,80,80,7.85,8.12
4,111,0.14,0.17,0.02,0,0,0.67,80,80,7.81,8.24
1,112,0,0.03,0.02,0.21,0.32,0.42,75,80,7.81,8.65
2,112,0,0.03,0.02,0.21,0.32,0.42,75,80,7.81,8.53
3,112,0,0.03,0.02,0.21,0.32,0.42,75,80,7.82,8.15
4,112,0,0.03,0.02,0.21,0.32,0.42,75,80,7.84,8.29
1,113,0.57,0,0.11,0.01,0.1,0.21,80,80,7.86,8.11
2,113,0.57,0,0.11,0.01,0.1,0.21,80,80,7.75,7.95
3,113,0.57,0,0.11,0.01,0.1,0.21,80,80,7.58,7.85
4,113,0.57,0,0.11,0.01,0.1,0.21,80,80,7.91,7.93
1,114,0.51,0.25,0.1,0.02,0.12,0,80,80,7.82,7.65
2,114,0.51,0.25,0.1,0.02,0.12,0,80,80,7.83,7.7
3,114,0.51,0.25,0.1,0.02,0.12,0,80,80,7.92,7.78
4,114,0.51,0.25,0.1,0.02,0.12,0,80,80,7.84,7.7
1,115,0.51,0.01,0.07,0.02,0.11,0.28,80,80,7.91,7.67
2,115,0.51,0.01,0.07,0.02,0.11,0.28,80,80,7.9,7.65
3,115,0.51,0.01,0.07,0.02,0.11,0.28,80,80,7.92,7.7
4,115,0.51,0.01,0.07,0.02,0.11,0.28,80,80,7.92,7.87
1,116,0,0,0,0.02,0,0.98,80,80,7.85,8.22
2,116,0,0,0,0.02,0,0.98,80,80,7.94,8.14
3,116,0,0,0,0.02,0,0.98,80,80,7.87,8.15
4,116,0,0,0,0.02,0,0.98,80,80,7.85,8.15
1,117,0.6,0,0.03,0,0.02,0.35,90,80,7.9,7.65
2,117,0.6,0,0.03,0,0.02,0.35,9,80,7.95,7.75
3,117,0.6,0,0.03,0,0.02,0.35,90,80,7.92,7.77
4,117,0.6,0,0.03,0,0.02,0.35,90,80,7.9,7.8
1,118,0.34,0,0.11,0.01,0.06,0.48,80,80,7.9,8.25
2,118,0.34,0,0.11,0.01,0.06,0.48,80,80,7.81,8.49
3,118,0.34,0,0.11,0.01,0.06,0.48,80,80,7.91,8.22
4,118,0.34,0,0.11,0.01,0.06,0.48,80,80,7.82,8.65
1,119,0.44,0.11,0.11,0,0.06,0.28,80,80,7.9,8.1
2,119,0.44,0.11,0.11,0,0.06,0.28,80,80,7.88,8
3,119,0.44,0.11,0.11,0,0.06,0.28,80,80,7.98,8.27
4,119,0.44,0.11,0.11,0,0.06,0.28,80,80,7.9,8.25
1,120,0.66,0,0.08,0,0,0.26,80,80,7.77,8.02
2,120,0.66,0,0.08,0,0,0.26,80,80,7.75,8
3,120,0.66,0,0.08,0,0,0.26,80,80,7.76,7.92
4,120,0.66,0,0.08,0,0,0.26,80,80,7.79,7.97
1,121,0.37,0.47,0.1,0,0.06,0,0,0,7.92,8.15
2,121,0.37,0.47,0.1,0,0.06,0,0,0,7.91,8.07
3,121,0.37,0.47,0.1,0,0.06,0,0,0,7.91,8.12
4,121,0.37,0.47,0.1,0,0.06,0,0,0,7.95,7.75
1,122,0.44,0.3,0.09,0.04,0.13,0,0,0,7.9,8.2
2,122,0.44,0.3,0.09,0.04,0.13,0,0,0,7.94,7.91
3,122,0.44,0.3,0.09,0.04,0.13,0,0,0,7.88,8.15
1,123,0.27,0.61,0.12,0,0,0,0,0,7.95,8.38
2,123,0.27,0.61,0.12,0,0,0,0,0,7.94,8.06
3,123,0.27,0.61,0.12,0,0,0,0,0,7.99,8.6
1,124,0.01,0,0,0.02,0.08,0.89,0,0,7.87,8.5
2,124,0.01,0,0,0.02,0.08,0.89,0,0,7.99,8.35
3,124,0.01,0,0,0.02,0.08,0.89,0,0,7.99,8.35
4,124,0.01,0,0,0.02,0.08,0.89,0,0,7.95,8.13
1,126,0.21,0.11,0.06,0,0.14,0.48,85,80,7.87,8.61
2,126,0.21,0.11,0.06,0,0.14,0.48,85,80,7.94,8.36
3,126,0.21,0.11,0.06,0,0.14,0.48,85,80,7.86,8.35
1,128,0.52,0.01,0.01,0,0,0.46,90,80,7.89,7.8
2,128,0.52,0.01,0.01,0,0,0.46,90,80,7.84,7.85
3,128,0.52,0.01,0.01,0,0,0.46,90,80,7.75,7.8
1,129,0,0.38,0.01,0,0,0.61,85,80,7.91,8.57
2,129,0,0.38,0.01,0,0,0.61,85,80,7.92,8.35
3,129,0,0.38,0.01,0,0,0.61,85,80,7.97,8.22
4,129,0,0.38,0.01,0,0,0.61,85,80,7.92,8.45
1,130,0,0.31,0.01,0,0,0.68,85,80,7.88,8.3
2,130,0,0.31,0.01,0,0,0.68,85,80,7.91,8.3
3,130,0,0.31,0.01,0,0,0.68,85,80,7.89,8.25
4,130,0,0.31,0.01,0,0,0.68,85,80,7.88,8.28
1,131,0.32,0.34,0.02,0,0.01,0.31,90,80,7.86,8.1
2,131,0.32,0.34,0.02,0,0.01,0.31,90,80,7.89,8.35
3,131,0.32,0.34,0.02,0,0.01,0.31,90,80,7.89,7.97
4,131,0.32,0.34,0.02,0,0.01,0.31,90,80,7.97,8.02
1,132,0.01,0.41,0,0,0.01,0.57,90,80,7.86,8.47
2,132,0.01,0.41,0,0,0.01,0.57,90,80,7.95,8.62
3,132,0.01,0.41,0,0,0.01,0.57,90,80,7.83,8.37
4,132,0.01,0.41,0,0,0.01,0.57,90,80,7.85,8.62
1,133,0,0.41,0,0.13,0,0.46,85,80,7.87,8.1
2,133,0,0.41,0,0.13,0,0.46,85,80,7.85,8.44
3,133,0,0.41,0,0.13,0,0.46,85,80,7.84,8.1
4,133,0,0.41,0,0.13,0,0.46,85,80,7.87,8.37
1,134,0,0.18,0,0.26,0.01,0.55,75,80,7.89,8.15
2,134,0,0.18,0,0.26,0.01,0.55,75,80,7.92,8.23
3,134,0,0.18,0,0.26,0.01,0.55,75,80,7.85,8.15
4,134,0,0.18,0,0.26,0.01,0.55,75,80,7.85,8.16
1,135,0.04,0.45,0,0.07,0.01,0.43,80,80,7.83,8.3
2,135,0.04,0.45,0,0.07,0.01,0.43,80,80,7.86,8.54
3,135,0.04,0.45,0,0.07,0.01,0.43,80,80,7.86,8.89
4,135,0.04,0.45,0,0.07,0.01,0.43,80,80,7.83,8.3
