iterID,A,B,C,D,E,F,ParetoGPApproximation_Stress,ParetoGPApproximation_Modulus,ParetoGPApproximation_Toughness,ParetoFamily
3,0.1395,0.2466,0.1093,0.0023,0.0045,0.3885,495.1452,2.0271,82730.0548,-1
3,0.2661,0.5234,0.0825,0.0073,0.0055,0.0325,562.1688,1.4016,85326.1164,-1
3,0.2686,0.5443,0.0782,0.0096,0.0048,0.0163,566.4025,1.4073,84575.1693,-1
3,0.1633,0.2583,0.0577,0.135,0,0.3281,536.3619,1.7584,83916.5762,-1
3,0.0327,0.3075,0.0869,0.0921,0.0064,0.3875,534.3105,1.9439,82210.8055,-1
3,0.3133,0.3028,0.0009,0.0651,0.0117,0.3053,514.1038,1.7484,87323.584,-1
3,0.3499,0.2846,0.0145,0.0112,0.0049,0.3203,512.2181,1.6859,88193.1603,-1
3,0.3268,0.3121,0.0017,0.0342,0.0122,0.3112,510.3902,1.7525,87638.5386,-1
3,0.067,0.3099,0.1234,0.0057,0.001,0.3698,479.255,2.0676,79856.0809,-1
3,0.2046,0.5651,0.0212,0.0832,0.0756,0.0293,597.5576,1.0354,79756.4701,-1
3,0.063,0.3052,0.1277,0.0021,0.0025,0.3718,472.3753,2.0767,79408.9,-1
3,0.2485,0.252,0.0289,0.106,0.0127,0.323,529.8217,1.6243,86176.2182,-1
3,0.2983,0.5636,0.0238,0.0621,0,0.0283,596.6016,1.0736,82309.1199,-1
3,0.303,0.5235,0.0274,0.0705,0.0053,0.043,593.3757,1.0883,83561.4551,-1
3,0.013,0.2938,0.062,0.1966,0.0157,0.3569,549.7685,1.8081,79190.7141,-1
3,0.2811,0.2346,0.0586,0.0038,0.0041,0.3592,518.5675,1.8568,86013.3403,-1
3,0.1499,0.2574,0.0613,0.1135,0.0062,0.3504,538.0175,1.8318,83699.5296,-1
3,0.0444,0.2871,0.1211,0.0458,0.0016,0.3789,490.7528,2.043,80621.246,-1
3,0.1419,0.5405,0.0215,0.1007,0.1438,0.03,597.8599,1.0045,78094.7884,-1
3,0.3029,0.4962,0.08,0.0049,0.0089,0.027,560.0445,1.4058,85637.9716,-1
3,0.0451,0.2725,0.0907,0.1188,0.0067,0.3756,535.2366,1.9529,82182.0332,-1
3,0.2474,0.5827,0.0707,0.0095,0.0052,0.0138,572.5201,1.3843,82907.673,-1
3,0.3186,0.2812,0.0224,0.0287,0.0029,0.3237,517.2273,1.6592,88038.6904,-1
3,0.0821,0.258,0.1378,0.0029,0.0036,0.3777,453.3321,2.0911,78527.3767,-1
3,0.2878,0.5177,0.0592,0.0268,0.0157,0.0337,578.3826,1.3073,84848.5416,-1
3,0.2857,0.2433,0.041,0.0464,0.011,0.3316,521.0615,1.6881,87149.3034,-1
3,0.2983,0.4873,0.0894,0.0096,0.0102,0.016,551.1717,1.4177,85299.4662,-1
3,0.0682,0.2934,0.1287,0.0021,0.004,0.3749,470.4688,2.0775,79595.4866,-1
3,0.3164,0.243,0.0312,0.0455,0.0124,0.3202,517.4192,1.6352,87727.7084,-1
3,0.3239,0.2301,0.0528,0.0148,0.0023,0.3233,508.6366,1.7525,87263.695,-1
3,0.1487,0.2816,0.0466,0.1168,0.0026,0.3571,540.4275,1.7357,83016.6666,-1
3,0.2583,0.5437,0.0388,0.0821,0.0132,0.025,593.6354,1.1367,82633.9352,-1
3,0.0334,0.3093,0.0778,0.1181,0.0016,0.382,541.2665,1.9187,81813.1849,-1
3,0.2902,0.5377,0.056,0.027,0.0162,0.0169,581.6386,1.2985,84025.7822,-1
3,0.2638,0.5566,0.0506,0.0405,0.0106,0.0273,587.0231,1.2477,83369.0301,-1
